NOME;RENDA;GINI;CMI
Alto Alegre dos Parecis (RO);222.42;0.54;31.34
Alto Alegre (RR);174.91;0.68;32.17
Alto Alegre (RS);430.63;0.48;13.6
Alto Alegre (SP);407.89;0.47;19.2
Alto Araguaia (MT);457.88;0.57;24.63
Alto Bela Vista (SC);390.65;0.42;22.6
Alto Boa Vista (MT);300.61;0.56;35.18
Alto Caparaó (MG);505.1;0.51;22.88
Alto do Rodrigues (RN);292.59;0.48;40.24
Alto Feliz (RS);495.53;0.3;12.9
Alto Garças (MT);651.91;0.54;19.02
Alto Horizonte (GO);305.61;0.51;21.3
Alto Jequitibá (MG);358.89;0.51;25.8
Alto Longá (PI);120.79;0.57;44.64
Altônia (PR);367.42;0.51;26.6
Alto Paraguai (MT);257.07;0.53;36.66
Alto Paraíso de Goiás (GO);428.31;0.65;22.2
Alto Paraíso (PR);277.09;0.43;27.3
Alto Paraíso (RO);454.28;0.6;29.28
Alto Paraná (PR);390.74;0.5;26.69
Alto Parnaíba (MA);184.36;0.65;35.91
Alto Piquiri (PR);466.19;0.51;27.28
Alto Rio Doce (MG);241.36;0.54;28.31
Alto Rio Novo (ES);344.14;0.55;28.72
Alto Santo (CE);186.45;0.48;37.93
Altos (PI);165.75;0.55;41.27
Alto Taquari (MT);781.26;0.47;19.02
Alumínio (SP);597.76;0.42;22.6
Alvarães (AM);178.67;0.58;45.79
Alvarenga (MG);216.66;0.54;38.39
Álvares Florence (SP);496.24;0.47;21.2
Álvares Machado (SP);514.41;0.49;19.1
Álvaro de Carvalho (SP);290.82;0.4;27.1
Alvinlândia (SP);364.53;0.48;22.4
Alvinópolis (MG);322.13;0.54;30.15
Alvorada de Minas (MG);216.72;0.58;29.93
Alvorada D'Oeste (RO);318.86;0.58;33.37
Alvorada do Gurguéia (PI);146.1;0.6;53.45
Alvorada do Norte (GO);308.86;0.57;34
Alvorada do Sul (PR);417.84;0.52;25.98
Alvorada (RS);428.88;0.43;16.46
Alvorada (TO);471.53;0.53;32.19
Amajari (RR);179.02;0.64;32.17
Amambai (MS);455.04;0.58;22.73
Amapá (AP);273.32;0.61;28.35
Amapá do Maranhão (MA);140.3;0.53;63.19
Amaporã (PR);356.94;0.4;34.64
Amaraji (PE);159;0.5;52.18
Amaral Ferrador (RS);374.38;0.48;20.2
Amaralina (GO);257.16;0.53;26.8
Amarante do Maranhão (MA);116.3;0.6;55.12
Amarante (PI);155.03;0.53;35.73
Amargosa (BA);248.64;0.56;42.54
Amaturá (AM);120.37;0.66;41.14
Amélia Rodrigues (BA);248.2;0.53;41.04
América Dourada (BA);134.24;0.53;53.16
Americana (SP);937.29;0.47;16.4
Americano do Brasil (GO);481.55;0.62;26.3
Américo Brasiliense (SP);484.46;0.39;17.6
Américo de Campos (SP);462.61;0.48;19.4
Ametista do Sul (RS);394.83;0.57;26.2
Amontada (CE);124.16;0.56;52.03
Amorinópolis (GO);344.85;0.54;32.4
Amparo de São Francisco (SE);155.75;0.51;52.43
Amparo do Serra (MG);233.84;0.52;37.06
Amparo (PB);147.9;0.5;52.82
Amparo (SP);874.72;0.5;16.5
Ampére (PR);468.09;0.58;24.5
Anadia (AL);170.3;0.53;44.96
Anagé (BA);116.86;0.48;46.02
Anahy (PR);258.32;0.5;24.69
Anajás (PA);182.07;0.56;35.37
Anajatuba (MA);103.91;0.59;50.07
Analândia (SP);625.27;0.51;17.1
Anamã (AM);196.17;0.58;55.28
Ananás (TO);241.29;0.55;43.19
Ananindeua (PA);379.8;0.53;21.7
Anápolis (GO);589.77;0.56;23.88
Anapu (PA);226.8;0.65;35.11
Anapurus (MA);192.8;0.54;50.07
Anastácio (MS);331.54;0.52;31.26
Anaurilândia (MS);366.96;0.53;27.76
Anchieta (ES);456.42;0.51;12.91
Anchieta (SC);283.03;0.46;24
Andaraí (BA);166.27;0.64;47.88
Andirá (PR);467.95;0.48;28.19
Andorinha (BA);150.09;0.55;54.33
Andradas (MG);720.43;0.47;14.62
Andradina (SP);707.79;0.52;17.4
André da Rocha (RS);639.6;0.53;15
Andrelândia (MG);423;0.61;33.34
Angatuba (SP);499.03;0.51;21
Angelândia (MG);284.15;0.53;48.94
Angélica (MS);301.27;0.49;27.04
Angelim (PE);162.3;0.58;69.55
Angelina (SC);332.77;0.49;24
