NOME;RENDA;GINI;CMI
Cordislândia (MG);318.96;0.45;24.33
Coreaú (CE);126.82;0.52;48.3
Coremas (PB);168.34;0.51;44.05
Corguinho (MS);339.21;0.53;31.05
Coribe (BA);143.52;0.58;41.04
Corinto (MG);383.18;0.57;30.2
Cornélio Procópio (PR);622.44;0.51;23.6
Coroaci (MG);278.51;0.52;35.42
Coroados (SP);483.85;0.52;18.7
Coroatá (MA);127.96;0.58;55.64
Coromandel (MG);493.92;0.53;16.48
Coronel Barros (RS);435.9;0.49;16
Coronel Bicaco (RS);389.75;0.59;19.6
Coronel Domingos Soares (PR);189.08;0.54;32.77
Coronel Ezequiel (RN);126.52;0.55;41.62
Coronel Fabriciano (MG);517.45;0.54;22.3
Coronel Freitas (SC);477.32;0.52;24.9
Coronel João Pessoa (RN);121.31;0.61;53.71
Coronel João Sá (BA);110.42;0.48;54.66
Coronel José Dias (PI);131.75;0.57;58.65
Coronel Macedo (SP);350.87;0.53;29.2
Coronel Martins (SC);339.78;0.53;24.5
Coronel Murta (MG);182.84;0.49;36.29
Coronel Pacheco (MG);405.33;0.47;26.9
Coronel Pilar (RS);650.91;0.44;15.2
Coronel Sapucaia (MS);305.67;0.54;26.51
Coronel Vivida (PR);381.81;0.53;28.5
Coronel Xavier Chaves (MG);249.61;0.43;31.33
Córrego Danta (MG);441.38;0.51;22.06
Córrego do Bom Jesus (MG);328.97;0.43;29.67
Córrego do Ouro (GO);291.65;0.48;24.9
Córrego Fundo (MG);327.86;0.41;27.52
Córrego Novo (MG);219.66;0.42;30.58
Correia Pinto (SC);408.03;0.49;27.7
Corrente (PI);236.06;0.63;34.57
Correntes (PE);168.3;0.6;80.65
Correntina (BA);183.7;0.59;41.57
Cortês (PE);147.15;0.48;87.32
Corumbá de Goiás (GO);370.44;0.57;27.5
Corumbaíba (GO);421.22;0.47;22.3
Corumbá (MS);451.78;0.6;21.86
Corumbataí do Sul (PR);193.47;0.49;35.64
Corumbataí (SP);568.16;0.48;20.4
Corumbiara (RO);229;0.55;37.21
Corupá (SC);568.77;0.46;17.9
Coruripe (AL);197.45;0.52;50.26
Cosmópolis (SP);621.13;0.43;17.2
Cosmorama (SP);444.85;0.5;17.7
Costa Marques (RO);331.08;0.58;36.98
Costa Rica (MS);453.04;0.53;21.86
Cotegipe (BA);150.64;0.55;46.77
Cotia (SP);874.52;0.58;18.1
Cotiporã (RS);632.21;0.4;15.2
Cotriguaçu (MT);301.98;0.57;29.08
Couto de Magalhães de Minas (MG);257.86;0.56;32.75
Couto Magalhães (TO);209.31;0.55;52.33
Coxilha (RS);355.2;0.49;18.3
Coxim (MS);596.29;0.56;22.25
Coxixola (PB);171.16;0.48;39.41
Craíbas (AL);116;0.49;50.57
Crateús (CE);239.4;0.6;36.88
Crato (CE);333.37;0.64;40.66
Cravinhos (SP);694.65;0.5;17.6
Cravolândia (BA);151.57;0.53;39.66
Criciúma (SC);802.98;0.5;21.3
Crisólita (MG);200.71;0.51;36.29
Crisópolis (BA);158.54;0.53;47.88
Crissiumal (RS);355.37;0.49;20
Cristais (MG);477.98;0.54;20.68
Cristais Paulista (SP);496.37;0.49;23.8
Cristalândia do Piauí (PI);138.62;0.6;49.93
Cristalândia (TO);323.02;0.57;26.46
Cristal do Sul (RS);168.02;0.51;19.7
Cristália (MG);132.2;0.5;29.16
Cristalina (GO);444.33;0.57;22.1
Cristal (RS);432.59;0.48;22.6
Cristiano Otoni (MG);302.95;0.5;26.77
Cristianópolis (GO);475.5;0.52;21.9
Cristina (MG);338.15;0.55;29.37
Cristinápolis (SE);173.91;0.52;52.67
Cristino Castro (PI);244.69;0.59;37.07
Cristópolis (BA);149.21;0.53;44.42
Crixás do Tocantins (TO);206.93;0.43;35.14
Crixás (GO);357.38;0.55;22.3
Croatá (CE);105.62;0.57;64.09
Cromínia (GO);429.74;0.48;21.9
Crucilândia (MG);442.87;0.5;27.44
Cruzália (SP);541.67;0.63;20.4
Cruz Alta (RS);681.02;0.59;16.1
Cruzaltense (RS);392.45;0.48;17.9
Cruz (CE);143.41;0.58;41.82
Cruz das Almas (BA);317.61;0.58;34.71
Cruz do Espírito Santo (PB);152.15;0.46;43.24
Cruzeiro da Fortaleza (MG);519.8;0.53;19.64
Cruzeiro do Iguaçu (PR);282.36;0.52;29.02
Cruzeiro do Oeste (PR);451.05;0.56;29.39
Cruzeiro do Sul (AC);266.84;0.62;26
Cruzeiro do Sul (PR);374.11;0.45;22.7
Cruzeiro do Sul (RS);548.57;0.43;16.7
Cruzeiro (SP);618.56;0.53;17.1
Cruzeta (RN);337.69;0.51;35.04
Cruzília (MG);372.55;0.54;26.36
Cruz Machado (PR);276.88;0.56;27.29
Cruzmaltina (PR);234.93;0.47;36.99
Cubatão (SP);540.04;0.45;22.8
Cubati (PB);177.64;0.49;49.94
Cuiabá (MT);882.97;0.59;23.57
Cuité de Mamanguape (PB);147.78;0.51;69.01
Cuitegi (PB);142.5;0.49;49.94
Cuité (PB);173.87;0.51;49.8
Cujubim (RO);397.38;0.52;29.15
Cumari (GO);398.66;0.57;22.3
Cumaru do Norte (PA);352.74;0.64;32.28
Cumaru (PE);130;0.57;60.78
Cumbe (SE);121.95;0.48;43.28
Cunha Porã (SC);559.67;0.53;23.6
Cunha (SP);299.39;0.54;18.1
Cunhataí (SC);563.16;0.46;13.5
Cuparaque (MG);279.72;0.48;22.95
Cupira (PE);206.92;0.53;61.94
Curaçá (BA);184.44;0.54;46.26
Curimatá (PI);267.37;0.64;35.73
Curionópolis (PA);262.27;0.59;33.34
Curitibanos (SC);497.76;0.55;22.3
Curitiba (PR);1225.28;0.55;21.2
Curiúva (PR);258.81;0.51;28.59
Currais Novos (RN);341.37;0.58;32.05
Currais (PI);98.52;0.51;52.36
Curral de Cima (PB);113.37;0.52;58.76
Curral de Dentro (MG);148.26;0.53;47.21
Curralinho (PA);177.48;0.54;47.69
Curralinhos (PI);85.69;0.56;48.6
Curral Novo do Piauí (PI);137.89;0.58;67.35
Curral Velho (PB);127.83;0.55;48.92
Curuá (PA);122.71;0.57;34.23
Curuçá (PA);218.46;0.56;38.22
Cururupu (MA);169.09;0.58;48.69
Curvelândia (MT);322.52;0.48;30.06
Curvelo (MG);415.45;0.55;27.4
Custódia (PE);205.97;0.55;60.62
Cutias (AP);150.14;0.58;34.26
Damianópolis (GO);159.55;0.5;25
Damião (PB);90.25;0.51;58.76
Damolândia (GO);261.54;0.47;31.1
Darcinópolis (TO);145.93;0.46;46.96
Dário Meira (BA);105.61;0.49;47.81
Datas (MG);173.75;0.53;41.28
David Canabarro (RS);518.6;0.48;18.5
Davinópolis (GO);287.47;0.41;22.5
Davinópolis (MA);140.63;0.45;53.3
Delfim Moreira (MG);330.61;0.56;25.07
Delfinópolis (MG);399.34;0.48;22.83
Delmiro Gouveia (AL);226.71;0.52;45.73
Delta (MG);398.12;0.38;24.92
Demerval Lobão (PI);161.93;0.53;40.94
Denise (MT);427.2;0.45;32.3
Deodápolis (MS);361.74;0.55;22.73
Deputado Irapuan Pinheiro (CE);170.34;0.59;64.09
Derrubadas (RS);363.52;0.55;22.6
Descalvado (SP);708.89;0.51;16
Descanso (SC);425.19;0.49;25.7
Descoberto (MG);365.1;0.46;24.08
Desterro de Entre Rios (MG);220.74;0.54;26.31
Desterro do Melo (MG);238.79;0.57;25.92
Desterro (PB);134.83;0.55;56.8
Dezesseis de Novembro (RS);225.27;0.5;19.9
Diadema (SP);597.35;0.43;20.7
Diamante D'Oeste (PR);294.35;0.51;31
Diamante do Norte (PR);406.85;0.52;30.26
Diamante do Sul (PR);264.97;0.56;33.19
Diamante (PB);122.26;0.55;48.88
Diamantina (MG);417.16;0.58;29.2
Diamantino (MT);598.97;0.65;22.39
Dianópolis (TO);288.49;0.57;35.14
Dias D'Ávila (BA);305.38;0.53;32.83
Dilermando de Aguiar (RS);358.65;0.58;18
Diogo de Vasconcelos (MG);153.84;0.52;35.34
Dionísio Cerqueira (SC);386.91;0.61;25.7
Dionísio (MG);240.06;0.5;30.15
Diorama (GO);339.33;0.4;24.9
Dirce Reis (SP);370.41;0.45;21
Dirceu Arcoverde (PI);166.83;0.53;44.97
Divina Pastora (SE);149.53;0.42;43.34
Divinésia (MG);319.18;0.51;27.12
Divino das Laranjeiras (MG);388.4;0.55;35.42
Divino de São Lourenço (ES);199.21;0.45;27.29
Divinolândia de Minas (MG);233.71;0.45;27.1
Divinolândia (SP);470.94;0.5;17.7
Divino (MG);306.14;0.52;33.72
Divinópolis de Goiás (GO);190.44;0.57;25.4
Divinópolis do Tocantins (TO);227.96;0.56;39.85
Divinópolis (MG);646.77;0.53;16.35
Divisa Alegre (MG);197.26;0.5;42.48
Divisa Nova (MG);384.24;0.44;27.97
Divisópolis (MG);187.98;0.46;36.28
Dobrada (SP);440.98;0.38;20.9
Dois Córregos (SP);664.16;0.5;22.3
Dois Irmãos das Missões (RS);310.62;0.63;29.1
Dois Irmãos do Buriti (MS);242.31;0.58;41.64
Dois Irmãos do Tocantins (TO);209.51;0.56;42.69
Dois Irmãos (RS);670.69;0.39;14.2
Dois Lajeados (RS);780.92;0.49;15
Dois Riachos (AL);148.66;0.54;51.11
Dois Vizinhos (PR);519.21;0.53;22.19
Dolcinópolis (SP);400.56;0.36;20.4
Dom Aquino (MT);360.95;0.51;31.65
Dom Basílio (BA);167.57;0.47;41.62
Dom Bosco (MG);251.4;0.53;20.8
Dom Cavati (MG);400.74;0.57;28.45
Dom Eliseu (PA);288;0.55;45.94
Dom Expedito Lopes (PI);223.02;0.53;50.18
Dom Feliciano (RS);351.98;0.48;21.5
Domingos Martins (ES);434.64;0.55;25.23
Domingos Mourão (PI);77.91;0.56;50.16
Dom Inocêncio (PI);126.55;0.53;48.9
Dom Joaquim (MG);227.66;0.54;35.81
Dom Macedo Costa (BA);190.34;0.55;42.12
Dom Pedrito (RS);552.19;0.59;21.4
Dom Pedro de Alcântara (RS);341.98;0.46;21.8
Dom Pedro (MA);250.16;0.58;48.15
Dom Silvério (MG);346.47;0.5;25.07
Dom Viçoso (MG);258.81;0.42;29.37
Dona Emma (SC);558.02;0.49;19.4
Dona Eusébia (MG);344.9;0.47;27.05
Dona Francisca (RS);488.03;0.51;22.4
Dona Inês (PB);118.56;0.58;60.83
Dores de Campos (MG);363.81;0.47;21.12
Dores de Guanhães (MG);231.35;0.54;34.42
Dores do Indaiá (MG);469.35;0.55;28.9
Dores do Rio Preto (ES);414.87;0.53;25.23
Dores do Turvo (MG);275.62;0.52;25.24
Doresópolis (MG);312.57;0.37;22.06
Dormentes (PE);127.71;0.47;64.15
Douradina (MS);384.47;0.61;30.23
Douradina (PR);441.69;0.53;30.6
Douradoquara (MG);418.18;0.49;19.64
Dourados (MS);615.48;0.58;24.15
Dourado (SP);548.63;0.46;21.2
Doutor Camargo (PR);449.12;0.51;25.99
Doutor Maurício Cardoso (RS);359.34;0.47;18.2
Doutor Pedrinho (SC);534.11;0.4;28.5
Doutor Ricardo (RS);477.99;0.41;20.4
Doutor Severiano (RN);118.87;0.55;53.71
Doutor Ulysses (PR);156.51;0.49;34.12
Doverlândia (GO);351.8;0.54;23.5
Dracena (SP);723.98;0.52;14.4
Duartina (SP);504.9;0.5;19.7
Duas Barras (RJ);383.63;0.5;25.17
Duas Estradas (PB);160.36;0.51;43.24
Dueré (TO);271.61;0.56;31.25
Dumont (SP);699.07;0.45;18.9
Duque Bacelar (MA);114.67;0.57;68.35
Duque de Caxias (RJ);463.23;0.47;21.44
Durandé (MG);339.47;0.49;28.72
Echaporã (SP);453.75;0.53;18.5
Ecoporanga (ES);308.06;0.61;27.29
Edealina (GO);454.94;0.53;22.4
Edéia (GO);537.33;0.59;25.4
Eirunepé (AM);138.2;0.62;51.85
Eldorado dos Carajás (PA);224.71;0.57;34.99
Eldorado do Sul (RS);527.06;0.54;22
Eldorado (MS);325.74;0.52;26.2
Eldorado (SP);366.06;0.6;18.9
Elesbão Veloso (PI);142.9;0.49;48.6
Elias Fausto (SP);469.81;0.5;21.6
Eliseu Martins (PI);155.09;0.55;35.73
Elisiário (SP);394.31;0.37;20.7
Elísio Medrado (BA);208.82;0.5;38.5
Elói Mendes (MG);539.34;0.53;20.95
Emas (PB);121.09;0.53;44.55
Embaúba (SP);566.01;0.38;17.2
Embu-Guaçu (SP);598.2;0.5;20
Embu (SP);562.61;0.45;21.1
Emilianópolis (SP);373.4;0.43;21.6
Encantado (RS);703.11;0.49;12.3
Encanto (RN);144.65;0.5;50.63
Encruzilhada (BA);158.81;0.49;38.54
Encruzilhada do Sul (RS);430.96;0.58;18.8
Enéas Marques (PR);551.86;0.62;21.39
Engenheiro Beltrão (PR);522.83;0.51;29.59
Engenheiro Caldas (MG);258.54;0.53;35.42
Engenheiro Coelho (SP);583.41;0.48;18.8
Engenheiro Navarro (MG);185.34;0.44;28.94
Engenheiro Paulo de Frontin (RJ);470.64;0.51;26.33
Engenho Velho (RS);324.42;0.55;23
Entre Folhas (MG);240.1;0.47;28.45
Entre-Ijuís (RS);321.07;0.52;19
Entre Rios (BA);215.62;0.59;42.86
Entre Rios de Minas (MG);365.83;0.56;26.77
Entre Rios do Oeste (PR);724.94;0.5;21.2
Entre Rios do Sul (RS);493.89;0.64;20.8
Entre Rios (SC);168.71;0.52;34
Envira (AM);106.65;0.63;53.21
Epitaciolândia (AC);276.34;0.58;29.28
Equador (RN);194.96;0.47;35.04
Erebango (RS);347.17;0.46;18.1
Erechim (RS);704.34;0.52;15.1
Ererê (CE);160.16;0.55;46.24
Érico Cardoso (BA);146.51;0.54;41.62
Ermo (SC);414.05;0.47;25.2
Ernestina (RS);521.4;0.54;19.3
Erval Grande (RS);360.29;0.63;11.7
Ervália (MG);338.34;0.57;33.52
Erval Seco (RS);279.83;0.57;21.9
Erval Velho (SC);474.15;0.49;25
Escada (PE);193.83;0.51;52.57
Esmeralda (RS);404.84;0.53;18.7
Esmeraldas (MG);369.34;0.52;25.73
Espera Feliz (MG);347.93;0.5;28.49
Esperança do Sul (RS);211.47;0.48;22.6
Esperança Nova (PR);298.19;0.43;26.8
Esperança (PB);207.9;0.57;43.64
Esperantina (PI);167.88;0.58;44.89
Esperantina (TO);101.11;0.55;64.48
Esperantinópolis (MA);137.61;0.59;53.01
Espigão Alto do Iguaçu (PR);323.85;0.57;30.58
Espigão D'Oeste (RO);429.82;0.63;26.45
Espinosa (MG);215.89;0.52;38.99
Espírito Santo do Dourado (MG);391.94;0.42;24.17
Espírito Santo do Pinhal (SP);688.16;0.52;14.9
Espírito Santo do Turvo (SP);424.16;0.44;24.3
Espírito Santo (RN);141.8;0.54;62.95
Esplanada (BA);171.92;0.59;54.66
Espumoso (RS);544.99;0.56;14.7
Estação (RS);495.21;0.5;18.8
Estância (SE);246.08;0.55;39.49
Estância Velha (RS);648.85;0.45;12.3
Esteio (RS);728.6;0.48;15
Estiva Gerbi (SP);484.38;0.41;19.3
Estiva (MG);482.15;0.47;24.17
Estreito (MA);250.24;0.57;38.58
Estrela Dalva (MG);512.41;0.68;25.07
Estrela de Alagoas (AL);99.88;0.51;57.22
Estrela D'Oeste (SP);518.55;0.48;17.1
Estrela do Indaiá (MG);372.15;0.51;22.38
Estrela do Norte (GO);349.54;0.48;21.3
Estrela do Norte (SP);362.31;0.43;22.2
Estrela do Sul (MG);319.54;0.46;20.51
Estrela (RS);652.25;0.46;14.7
Estrela Velha (RS);425.18;0.49;18.6
Euclides da Cunha (BA);162.84;0.55;50.36
Euclides da Cunha Paulista (SP);281.79;0.5;23.3
Eugênio de Castro (RS);401.13;0.58;12.1
Eugenópolis (MG);413.03;0.55;26.49
Eunápolis (BA);398.68;0.63;41.13
Eusébio (CE);221.43;0.59;41.94
Ewbank da Câmara (MG);300.44;0.43;27.05
Extrema (MG);543.95;0.49;26.71
Extremoz (RN);271.6;0.54;40.16
Exu (PE);136.67;0.57;62.1
Fagundes (PB);132.14;0.55;52.82
Fagundes Varela (RS);575.74;0.35;13.1
Faina (GO);329.4;0.55;26
Fama (MG);499.58;0.58;17.89
Faria Lemos (MG);376.89;0.52;33.72
Farias Brito (CE);142.4;0.57;59.08
Farol (PR);324.23;0.53;30.41
Faro (PA);130.14;0.54;46.14
Farroupilha (RS);797.88;0.46;15.1
Fartura do Piauí (PI);154.2;0.52;48.8
Fartura (SP);485.01;0.54;19
Fátima (BA);167.33;0.53;64.86
Fátima do Sul (MS);432.73;0.57;31.05
Fátima (TO);274.57;0.56;37.75
Faxinal dos Guedes (SC);637.3;0.56;24.8
Faxinal do Soturno (RS);500.46;0.5;18.4
Faxinal (PR);462.23;0.6;31.59
Faxinalzinho (RS);400.81;0.58;21.3
Fazenda Nova (GO);320.79;0.51;28.6
Fazenda Rio Grande (PR);395.64;0.46;25.4
Fazenda Vilanova (RS);431.75;0.5;21.8
Feijó (AC);139.3;0.68;40.18
Feira da Mata (BA);196.66;0.59;45.71
Feira de Santana (BA);412.85;0.61;32.83
Feira Grande (AL);135.19;0.53;53.29
Feira Nova do Maranhão (MA);115.04;0.57;59.22
Feira Nova (PE);193.8;0.48;55.42
Feira Nova (SE);126.6;0.47;46.59
Felício dos Santos (MG);146.34;0.54;39.59
Felipe Guerra (RN);169.58;0.5;56.59
Felisburgo (MG);198.31;0.55;37.49
Felixlândia (MG);296.51;0.55;27.4
Feliz Deserto (AL);120.65;0.43;39.42
Feliz Natal (MT);731.11;0.61;30.66
Feliz (RS);632.93;0.42;16.1
Fênix (PR);333.52;0.49;26.8
Fernandes Pinheiro (PR);288.26;0.59;27.29
Fernandes Tourinho (MG);194.02;0.49;34.42
Fernando de Noronha (PE);1034.14;0.46;21.4
Fernando Falcão (MA);101;0.56;55.45
Fernando Pedroza (RN);212.16;0.55;59.46
Fernandópolis (SP);721.82;0.54;14.2
Fernando Prestes (SP);495.41;0.43;15.8
Fernão (SP);510.09;0.4;20.4
Ferraz de Vasconcelos (SP);452.87;0.46;19.9
Ferreira Gomes (AP);220.69;0.56;24.12
Ferreiros (PE);174.04;0.53;52.58
Ferros (MG);223.43;0.53;30.15
Fervedouro (MG);261.47;0.49;26.49
Figueirão (MS);352.5;0.48;27.79
Figueira (PR);347.12;0.52;33.4
Figueirópolis D'Oeste (MT);440.4;0.57;36.66
Figueirópolis (TO);285.94;0.52;31.25
Filadélfia (BA);105.64;0.54;54.96
Filadélfia (TO);230.73;0.6;44.26
Firmino Alves (BA);203.36;0.56;39.66
Firminópolis (GO);375.67;0.54;30.4
Flexeiras (AL);131.99;0.47;57.73
Floraí (PR);474.28;0.48;18.89
Florânia (RN);204.3;0.52;49.22
Flora Rica (SP);364.44;0.46;24.9
Flor da Serra do Sul (PR);307.36;0.53;25.3
Flor do Sertão (SC);447.8;0.51;30.5
Floreal (SP);550.37;0.48;18.8
Flores da Cunha (RS);919.61;0.46;13.1
Flores de Goiás (GO);234.37;0.63;34.9
Flores do Piauí (PI);125.09;0.57;40.94
Flores (PE);132.04;0.55;52.76
Floresta Azul (BA);181.52;0.53;38.51
Floresta do Araguaia (PA);181.76;0.57;30.12
Floresta do Piauí (PI);107.53;0.49;53.45
Florestal (MG);429.54;0.48;18.05
Floresta (PE);227.05;0.56;45.66
Floresta (PR);471.14;0.46;29.02
Florestópolis (PR);325.12;0.4;28.6
Floriano Peixoto (RS);293.23;0.47;17.9
Floriano (PI);337.42;0.6;34.09
Florianópolis (SC);1383.78;0.55;18.26
Flórida Paulista (SP);431.36;0.49;24.4
Flórida (PR);419.18;0.44;28.01
Florínia (SP);363.07;0.46;19.4
Fonte Boa (AM);161.97;0.62;59.65
Fontoura Xavier (RS);303.1;0.54;19.7
Formiga (MG);503.03;0.53;16.65
Formigueiro (RS);338.94;0.54;17.7
Formosa da Serra Negra (MA);140.38;0.63;48.15
Formosa do Oeste (PR);366.94;0.5;24.71
Formosa do Rio Preto (BA);280.66;0.74;44.73
Formosa do Sul (SC);544.29;0.55;24.9
Formosa (GO);466.29;0.61;23.6
Formoso do Araguaia (TO);331.73;0.56;43.29
Formoso (GO);334.55;0.57;28.2
Formoso (MG);311.16;0.6;30.15
Forquetinha (RS);361.92;0.38;12.3
Forquilha (CE);187.02;0.48;43.53
Forquilhinha (SC);606.61;0.46;21.7
Fortaleza (CE);610.48;0.64;34.57
Fortaleza de Minas (MG);361.54;0.45;21.52
Fortaleza dos Nogueiras (MA);145.99;0.63;48
Fortaleza dos Valos (RS);870.68;0.66;16.7
Fortaleza do Tabocão (TO);322.22;0.53;40.53
Fortim (CE);207.52;0.51;55.64
Fortuna de Minas (MG);308.12;0.48;29.93
Fortuna (MA);157.66;0.56;60.48
Foz do Iguaçu (PR);648.86;0.57;18.89
Foz do Jordão (PR);289.16;0.54;29.02
Fraiburgo (SC);506.48;0.49;24.6
Franca (SP);709.4;0.46;17.2
Francinópolis (PI);93.42;0.56;60.53
Francisco Alves (PR);294.22;0.44;31
Francisco Ayres (PI);126.76;0.53;47.49
Francisco Badaró (MG);176.83;0.46;32.68
Francisco Beltrão (PR);608.79;0.57;21.2
Francisco Dantas (RN);176.83;0.5;54.49
Francisco Dumont (MG);188.86;0.52;39.1
Francisco Macedo (PI);113.93;0.5;50.16
Francisco Morato (SP);441.28;0.44;22.2
Franciscópolis (MG);117.29;0.51;39.57
Francisco Sá (MG);199.65;0.53;31.93
Francisco Santos (PI);186.24;0.5;48.6
Franco da Rocha (SP);501.9;0.44;22.4
Frecheirinha (CE);140.62;0.55;49.57
Frederico Westphalen (RS);582.2;0.54;15.8
Frei Gaspar (MG);153.58;0.53;37.49
Frei Inocêncio (MG);298.61;0.56;35.42
Frei Lagonegro (MG);122.08;0.5;49.39
Frei Martinho (PB);181.91;0.51;49.94
Frei Miguelinho (PE);159.25;0.49;49.98
Frei Paulo (SE);246.89;0.59;39.49
Frei Rogério (SC);321.91;0.51;32.4
Fronteira dos Vales (MG);122.78;0.47;33.72
Fronteira (MG);507.79;0.48;17.97
Fronteiras (PI);231.48;0.59;49.76
Fruta de Leite (MG);108.04;0.47;38.36
Frutal (MG);594.7;0.56;15.91
Frutuoso Gomes (RN);147.91;0.5;46.32
Fundão (ES);453.81;0.54;26.21
Funilândia (MG);324.46;0.58;28.72
Gabriel Monteiro (SP);437.96;0.41;23.4
Gado Bravo (PB);103.33;0.54;50.09
Gália (SP);472.2;0.54;25.6
Galiléia (MG);294.63;0.53;35.42
Galinhos (RN);142.51;0.57;45.1
Galvão (SC);504.52;0.5;22.3
Gameleira de Goiás (GO);504.61;0.54;21.8
Gameleira (PE);154.02;0.52;69.58
Gameleiras (MG);124.52;0.5;35.47
Gandu (BA);306.92;0.65;40.78
Garanhuns (PE);332.38;0.6;47.66
Gararu (SE);136.15;0.61;43.91
Garça (SP);605.44;0.53;19.7
Garibaldi (RS);907.45;0.51;15.1
Garopaba (SC);468.8;0.48;18.8
Garrafão do Norte (PA);140.56;0.55;45.39
Garruchos (RS);252.82;0.52;19.8
Garuva (SC);462.17;0.56;21.2
Gaspar (SC);716.33;0.41;19.6
Gastão Vidigal (SP);525.77;0.53;22
Gaúcha do Norte (MT);481.01;0.57;21.99
Gaurama (RS);532.99;0.52;13.2
Gavião (BA);169.25;0.49;43.11
Gavião Peixoto (SP);471.73;0.43;21.1
Geminiano (PI);113.16;0.46;52.36
General Câmara (RS);471.88;0.52;17.5
General Carneiro (MT);265.85;0.59;28.89
General Carneiro (PR);350.17;0.54;32.3
General Maynard (SE);188.1;0.51;41.84
General Salgado (SP);540.56;0.51;23.1
General Sampaio (CE);109.76;0.56;52.05
Gentil (RS);463.09;0.47;18
Gentio do Ouro (BA);191.14;0.59;54.5
Getulina (SP);500.75;0.54;22.2
Getúlio Vargas (RS);519.09;0.52;17
Gilbués (PI);170.7;0.67;35.27
Girau do Ponciano (AL);110.69;0.58;51.11
Giruá (RS);460.17;0.59;21.7
Glaucilândia (MG);198.21;0.43;31.93
Glicério (SP);448.68;0.52;17.4
Glória (BA);176.64;0.51;33.11
Glória de Dourados (MS);405.66;0.52;27.79
Glória D'Oeste (MT);560.5;0.48;29.95
Glória do Goitá (PE);168.29;0.52;52.18
Glorinha (RS);504.47;0.52;15.2
Godofredo Viana (MA);140.08;0.5;51.47
Godoy Moreira (PR);214.46;0.44;27.3
Goiabeira (MG);227.36;0.47;35.81
Goianá (MG);400.14;0.47;29.2
Goiana (PE);245.01;0.55;45.66
Goianápolis (GO);273.71;0.52;33.1
Goiandira (GO);441.64;0.51;21.9
Goianésia do Pará (PA);286.06;0.54;38.27
Goianésia (GO);401.84;0.52;27.1
Goiânia (GO);1001.94;0.58;20.79
Goianinha (RN);217.22;0.55;47.58
Goianira (GO);365.72;0.44;28.6
Goianorte (TO);221.7;0.57;44.41
Goiás (GO);392.11;0.52;25.7
Goiatins (TO);138.29;0.61;50.49
Goiatuba (GO);667.28;0.56;19.7
Goioerê (PR);452.51;0.57;24.5
Goioxim (PR);233.97;0.61;30.41
Gonçalves Dias (MA);205.54;0.59;50.93
Gonçalves (MG);398.06;0.49;20.19
Gongogi (BA);119.21;0.5;45.65
Gonzaga (MG);153.92;0.5;39.39
Gouveia (MG);280.84;0.52;26.18
Gouvelândia (GO);355.77;0.51;22.1
Governador Archer (MA);131.62;0.55;66.99
Governador Celso Ramos (SC);467.84;0.43;18.5
Governador Dix-Sept Rosado (RN);159.79;0.49;51.77
Governador Edison Lobão (MA);154.86;0.53;45.57
Governador Eugênio Barros (MA);119.13;0.55;48.99
Governador Jorge Teixeira (RO);323.18;0.57;32.08
Governador Lindenberg (ES);317.38;0.47;23.28
Governador Luiz Rocha (MA);101.55;0.48;68.35
Governador Mangabeira (BA);188.57;0.54;32.89
Governador Newton Bello (MA);86.45;0.52;60.54
Governador Nunes Freire (MA);173.57;0.59;57.19
Governador Valadares (MG);618.21;0.59;27.39
Graça Aranha (MA);120.35;0.46;53.15
Graça (CE);102.39;0.55;43.77
Gracho Cardoso (SE);163.65;0.5;52.43
Grajaú (MA);170.6;0.59;45.57
Gramado dos Loureiros (RS);292.86;0.5;24.4
Gramado (RS);786.53;0.49;13.1
Gramado Xavier (RS);352.83;0.54;27.4
Grandes Rios (PR);278.91;0.5;29.02
Granito (PE);122.38;0.54;60.62
Granja (CE);107.83;0.58;53.24
Granjeiro (CE);95.12;0.61;63.77
Grão Mogol (MG);201.87;0.55;29.16
Grão Pará (SC);774.55;0.59;20.3
Gravataí (RS);577.3;0.44;12.83
Gravatal (SC);469;0.44;19.8
Gravatá (PE);276.25;0.53;56.11
Groaíras (CE);161.29;0.47;45.92
Grossos (RN);212.26;0.49;34.55
Grupiara (MG);318.45;0.43;20.51
Guabiju (RS);547.25;0.55;14.6
Guabiruba (SC);657.92;0.34;15.7
Guaçuí (ES);500.5;0.59;22.19
Guadalupe (PI);234.59;0.58;35.59
Guaíba (RS);575.06;0.48;17.9
Guaiçara (SP);434.2;0.47;22.3
Guaimbê (SP);395.73;0.54;21.6
Guairaçá (PR);325.88;0.5;28.19
Guaíra (PR);502.14;0.58;24.5
Guaíra (SP);607.99;0.52;17.8
Guaiúba (CE);141.07;0.47;38.23
Guajará (AM);142.25;0.64;47.6
Guajará-Mirim (RO);422.65;0.6;21.68
Guajeru (BA);160.7;0.49;36.3
Guamaré (RN);181.41;0.51;40.24
Guamiranga (PR);214.7;0.49;33.17
Guanambi (BA);307.55;0.62;36.18
Guanhães (MG);330.76;0.56;35.43
Guapé (MG);372.43;0.52;22.25
Guapiaçu (SP);661.95;0.42;14.6
Guapiara (SP);340.91;0.56;24.4
Guapimirim (RJ);471.04;0.54;21.96
Guapirama (PR);328.18;0.47;24.88
Guapó (GO);371.7;0.5;28
Guaporema (PR);313.96;0.46;33.4
Guaporé (RS);712.06;0.47;16.4
Guarabira (PB);260.25;0.53;35.92
