RENDA;GINI;CMI
310.67;0.51;27.61
437.76;0.58;23.7
145.34;0.54;43.76
514.86;0.54;12.91
377.55;0.53;22.3
167.36;0.57;36.1
460.48;0.63;28
505.27;0.55;19.59
600.38;0.55;19.9
757.21;0.51;17.9
375.76;0.62;33.78
552.3;0.57;27.6
122.72;0.51;60.96
178.12;0.51;36.5
312.29;0.45;18.42
209.93;0.55;52.57
484.55;0.42;18.3
149.33;0.54;52.82
125.66;0.53;39.64
220.03;0.53;35.92
294.78;0.55;39.85
507.06;0.56;13.7
168.89;0.54;43.34
107.87;0.53;45.65
304.88;0.44;28
119.83;0.55;46.02
170.16;0.43;44.27
121.74;0.5;44.94
260.56;0.51;30.5
190.08;0.61;32.7
698.49;0.54;22.8
528.99;0.61;18.33
967.79;0.48;15.4
206.26;0.55;48.15
107.66;0.5;63.19
207.45;0.51;48.86
116.05;0.47;51.47
567.38;0.47;12.5
189;0.58;52.46
202.16;0.51;38.76
274.58;0.4;24.92
185.05;0.56;55.39
256.18;0.4;28.1
343.71;0.49;25.4
280.53;0.48;17.8
138.82;0.62;46.11
168.62;0.56;59.87
286.81;0.54;32.82
120.85;0.54;55.92
354.07;0.46;28.49
120.34;0.56;63.93
127.08;0.56;53.01
511.47;0.6;27.5
584.82;0.58;20.4
524.69;0.5;24.6
826.27;0.51;16.5
329.55;0.48;21
245.88;0.54;27.29
398.29;0.51;22
139.45;0.54;56.59
333.17;0.52;18.5
275.41;0.49;28.6
489.08;0.51;15.3
213.16;0.55;31
460.44;0.47;19.9
520.25;0.55;26.69
366.5;0.5;24.5
353.06;0.5;24.08
132.88;0.45;52.58
190.04;0.55;54.2
288.48;0.45;25.8
293.29;0.62;37.75
325.14;0.51;52.33
177.7;0.45;32.68
376.82;0.6;27.9
253.67;0.51;31.6
498.64;0.45;20.8
331.21;0.44;26.7
857.52;0.62;17.96
484.24;0.53;20.4
145.19;0.59;48
674.35;0.56;20.4
121.46;0.55;57.74
551.39;0.41;19.3
525.56;0.47;16.3
310.36;0.51;11.7
136.43;0.52;70.03
522.21;0.5;20.3
125.16;0.51;35.37
340.32;0.51;19.59
349.23;0.52;17
442.43;0.57;22.9
102.17;0.58;56.43
162.08;0.5;52
140.19;0.64;46.06
623.18;0.52;21.1
369.03;0.53;28.59
471.66;0.46;19.7
615.21;0.55;24
195.66;0.53;60.66
438.4;0.52;31.59
516.37;0.49;21.1
159.98;0.47;55.45
589.2;0.52;18.1
185.12;0.56;51.19
153.45;0.58;47.79
493.04;0.52;20.4
341.6;0.44;24.78
204.34;0.48;38.39
566.76;0.57;22.71
400.38;0.46;29.84
385.82;0.42;19.3
386.28;0.54;30.38
203.09;0.57;37.79
159.29;0.57;39.16
132.4;0.46;38.89
108.07;0.54;45.53
556.5;0.4;18.6
436.11;0.48;25.62
120.31;0.56;60.53
272.38;0.51;29
160.51;0.56;41.13
234.31;0.61;48.5
150.53;0.57;53.01
167.17;0.54;59.22
340;0.51;22.88
123.33;0.52;50.57
115.2;0.54;44.1
192.7;0.56;34.63
557.04;0.54;21.86
532.6;0.59;30.37
219.6;0.57;34.1
416.62;0.61;35.38
161.53;0.63;60.31
530.85;0.54;17.6
555.65;0.42;15.8
294.77;0.56;39.85
326.74;0.58;30.06
543.21;0.5;20
476.96;0.42;18.4
140.88;0.49;37.69
119.77;0.49;49.14
156.88;0.53;60.31
401.32;0.57;26.45
560.59;0.51;24.91
812.99;0.51;15.3
224;0.61;39.39
285.2;0.57;35.14
517.02;0.47;18.47
386.19;0.48;22.41
114.78;0.52;38.95
474.42;0.59;28.89
579.34;0.51;17.89
247.64;0.46;35.81
312.62;0.54;25.83
190.72;0.56;46.06
598.23;0.55;24.92
323.61;0.48;22.88
346.39;0.54;28.66
431.82;0.49;20.82
181.79;0.54;41.13
304.21;0.54;29.34
152.72;0.59;52.99
342.8;0.51;26.21
187.56;0.54;52.84
275.12;0.55;41.58
94.65;0.46;55.15
220.95;0.57;36.01
282.65;0.47;19.03
483.03;0.56;24.24
409.5;0.47;22.61
203.47;0.55;45.19
154.56;0.56;42.22
494.44;0.47;18.5
730.42;0.52;20.6
235.7;0.57;36
746.42;0.54;16.9
155.14;0.48;43.55
166.57;0.53;54.65
158.34;0.61;50.61
198.34;0.52;40.58
199.91;0.64;39.58
467.25;0.52;17.9
97.85;0.52;31.6
348.75;0.41;20.95
323.27;0.58;30.06
385.86;0.48;30.02
215.01;0.67;36.01
443.57;0.51;22.38
276.95;0.5;33.41
161.03;0.49;37.3
228.57;0.5;24.81
565.4;0.53;24.92
515.08;0.52;25.07
533.31;0.53;31
412.79;0.57;25.94
246.92;0.4;29.98
466.21;0.52;14.2
561.76;0.48;28.47
411.42;0.55;24.71
181.91;0.52;56.56
380.87;0.49;22.25
418.35;0.42;12.3
358.33;0.49;20.6
192.9;0.53;36.98
244.91;0.55;31.93
181.35;0.58;47.81
468.73;0.52;28.5
726.8;0.44;13.2
544.35;0.51;17.29
157.64;0.45;41.52
606.98;0.56;25.8
358.07;0.51;32.2
318.96;0.45;24.33
126.82;0.52;48.3
168.34;0.51;44.05
339.21;0.53;31.05
143.52;0.58;41.04
383.18;0.57;30.2
622.44;0.51;23.6
278.51;0.52;35.42
483.85;0.52;18.7
127.96;0.58;55.64
493.92;0.53;16.48
435.9;0.49;16
389.75;0.59;19.6
189.08;0.54;32.77
126.52;0.55;41.62
517.45;0.54;22.3
477.32;0.52;24.9
121.31;0.61;53.71
110.42;0.48;54.66
131.75;0.57;58.65
350.87;0.53;29.2
339.78;0.53;24.5
182.84;0.49;36.29
405.33;0.47;26.9
650.91;0.44;15.2
305.67;0.54;26.51
381.81;0.53;28.5
249.61;0.43;31.33
441.38;0.51;22.06
328.97;0.43;29.67
291.65;0.48;24.9
327.86;0.41;27.52
219.66;0.42;30.58
408.03;0.49;27.7
236.06;0.63;34.57
168.3;0.6;80.65
183.7;0.59;41.57
147.15;0.48;87.32
370.44;0.57;27.5
421.22;0.47;22.3
451.78;0.6;21.86
193.47;0.49;35.64
568.16;0.48;20.4
229;0.55;37.21
568.77;0.46;17.9
197.45;0.52;50.26
621.13;0.43;17.2
444.85;0.5;17.7
331.08;0.58;36.98
453.04;0.53;21.86
150.64;0.55;46.77
874.52;0.58;18.1
632.21;0.4;15.2
301.98;0.57;29.08
257.86;0.56;32.75
209.31;0.55;52.33
355.2;0.49;18.3
596.29;0.56;22.25
171.16;0.48;39.41
116;0.49;50.57
239.4;0.6;36.88
333.37;0.64;40.66
694.65;0.5;17.6
151.57;0.53;39.66
802.98;0.5;21.3
200.71;0.51;36.29
158.54;0.53;47.88
355.37;0.49;20
477.98;0.54;20.68
496.37;0.49;23.8
138.62;0.6;49.93
323.02;0.57;26.46
168.02;0.51;19.7
132.2;0.5;29.16
444.33;0.57;22.1
432.59;0.48;22.6
302.95;0.5;26.77
475.5;0.52;21.9
338.15;0.55;29.37
173.91;0.52;52.67
244.69;0.59;37.07
149.21;0.53;44.42
206.93;0.43;35.14
357.38;0.55;22.3
105.62;0.57;64.09
429.74;0.48;21.9
442.87;0.5;27.44
541.67;0.63;20.4
681.02;0.59;16.1
392.45;0.48;17.9
143.41;0.58;41.82
317.61;0.58;34.71
152.15;0.46;43.24
519.8;0.53;19.64
282.36;0.52;29.02
451.05;0.56;29.39
266.84;0.62;26
374.11;0.45;22.7
548.57;0.43;16.7
618.56;0.53;17.1
337.69;0.51;35.04
372.55;0.54;26.36
276.88;0.56;27.29
234.93;0.47;36.99
540.04;0.45;22.8
177.64;0.49;49.94
882.97;0.59;23.57
147.78;0.51;69.01
142.5;0.49;49.94
173.87;0.51;49.8
397.38;0.52;29.15
398.66;0.57;22.3
352.74;0.64;32.28
130;0.57;60.78
121.95;0.48;43.28
559.67;0.53;23.6
299.39;0.54;18.1
563.16;0.46;13.5
279.72;0.48;22.95
206.92;0.53;61.94
184.44;0.54;46.26
267.37;0.64;35.73
262.27;0.59;33.34
497.76;0.55;22.3
1225.28;0.55;21.2
258.81;0.51;28.59
341.37;0.58;32.05
98.52;0.51;52.36
113.37;0.52;58.76
148.26;0.53;47.21
177.48;0.54;47.69
85.69;0.56;48.6
137.89;0.58;67.35
127.83;0.55;48.92
122.71;0.57;34.23
218.46;0.56;38.22
169.09;0.58;48.69
322.52;0.48;30.06
415.45;0.55;27.4
205.97;0.55;60.62
150.14;0.58;34.26
159.55;0.5;25
90.25;0.51;58.76
261.54;0.47;31.1
145.93;0.46;46.96
105.61;0.49;47.81
173.75;0.53;41.28
518.6;0.48;18.5
287.47;0.41;22.5
140.63;0.45;53.3
330.61;0.56;25.07
399.34;0.48;22.83
226.71;0.52;45.73
398.12;0.38;24.92
161.93;0.53;40.94
427.2;0.45;32.3
361.74;0.55;22.73
170.34;0.59;64.09
363.52;0.55;22.6
708.89;0.51;16
425.19;0.49;25.7
365.1;0.46;24.08
220.74;0.54;26.31
238.79;0.57;25.92
134.83;0.55;56.8
225.27;0.5;19.9
597.35;0.43;20.7
294.35;0.51;31
406.85;0.52;30.26
264.97;0.56;33.19
122.26;0.55;48.88
417.16;0.58;29.2
598.97;0.65;22.39
288.49;0.57;35.14
305.38;0.53;32.83
358.65;0.58;18
153.84;0.52;35.34
386.91;0.61;25.7
240.06;0.5;30.15
339.33;0.4;24.9
370.41;0.45;21
166.83;0.53;44.97
149.53;0.42;43.34
319.18;0.51;27.12
388.4;0.55;35.42
199.21;0.45;27.29
233.71;0.45;27.1
470.94;0.5;17.7
306.14;0.52;33.72
190.44;0.57;25.4
227.96;0.56;39.85
646.77;0.53;16.35
197.26;0.5;42.48
384.24;0.44;27.97
187.98;0.46;36.28
440.98;0.38;20.9
664.16;0.5;22.3
310.62;0.63;29.1
242.31;0.58;41.64
209.51;0.56;42.69
670.69;0.39;14.2
780.92;0.49;15
148.66;0.54;51.11
519.21;0.53;22.19
400.56;0.36;20.4
360.95;0.51;31.65
167.57;0.47;41.62
251.4;0.53;20.8
400.74;0.57;28.45
288;0.55;45.94
223.02;0.53;50.18
351.98;0.48;21.5
434.64;0.55;25.23
77.91;0.56;50.16
126.55;0.53;48.9
227.66;0.54;35.81
190.34;0.55;42.12
552.19;0.59;21.4
341.98;0.46;21.8
250.16;0.58;48.15
346.47;0.5;25.07
258.81;0.42;29.37
558.02;0.49;19.4
344.9;0.47;27.05
488.03;0.51;22.4
118.56;0.58;60.83
363.81;0.47;21.12
231.35;0.54;34.42
469.35;0.55;28.9
414.87;0.53;25.23
275.62;0.52;25.24
312.57;0.37;22.06
127.71;0.47;64.15
384.47;0.61;30.23
441.69;0.53;30.6
418.18;0.49;19.64
615.48;0.58;24.15
548.63;0.46;21.2
449.12;0.51;25.99
359.34;0.47;18.2
534.11;0.4;28.5
477.99;0.41;20.4
118.87;0.55;53.71
156.51;0.49;34.12
351.8;0.54;23.5
723.98;0.52;14.4
504.9;0.5;19.7
383.63;0.5;25.17
160.36;0.51;43.24
271.61;0.56;31.25
699.07;0.45;18.9
114.67;0.57;68.35
463.23;0.47;21.44
339.47;0.49;28.72
453.75;0.53;18.5
308.06;0.61;27.29
454.94;0.53;22.4
537.33;0.59;25.4
138.2;0.62;51.85
224.71;0.57;34.99
527.06;0.54;22
325.74;0.52;26.2
366.06;0.6;18.9
142.9;0.49;48.6
469.81;0.5;21.6
155.09;0.55;35.73
394.31;0.37;20.7
208.82;0.5;38.5
539.34;0.53;20.95
121.09;0.53;44.55
566.01;0.38;17.2
598.2;0.5;20
562.61;0.45;21.1
373.4;0.43;21.6
703.11;0.49;12.3
144.65;0.5;50.63
158.81;0.49;38.54
430.96;0.58;18.8
551.86;0.62;21.39
522.83;0.51;29.59
258.54;0.53;35.42
583.41;0.48;18.8
185.34;0.44;28.94
470.64;0.51;26.33
324.42;0.55;23
240.1;0.47;28.45
321.07;0.52;19
215.62;0.59;42.86
365.83;0.56;26.77
724.94;0.5;21.2
493.89;0.64;20.8
168.71;0.52;34
106.65;0.63;53.21
276.34;0.58;29.28
194.96;0.47;35.04
347.17;0.46;18.1
704.34;0.52;15.1
160.16;0.55;46.24
146.51;0.54;41.62
414.05;0.47;25.2
521.4;0.54;19.3
360.29;0.63;11.7
338.34;0.57;33.52
279.83;0.57;21.9
474.15;0.49;25
193.83;0.51;52.57
404.84;0.53;18.7
369.34;0.52;25.73
347.93;0.5;28.49
211.47;0.48;22.6
298.19;0.43;26.8
207.9;0.57;43.64
167.88;0.58;44.89
101.11;0.55;64.48
137.61;0.59;53.01
323.85;0.57;30.58
429.82;0.63;26.45
215.89;0.52;38.99
391.94;0.42;24.17
688.16;0.52;14.9
424.16;0.44;24.3
141.8;0.54;62.95
171.92;0.59;54.66
544.99;0.56;14.7
495.21;0.5;18.8
246.08;0.55;39.49
648.85;0.45;12.3
728.6;0.48;15
484.38;0.41;19.3
482.15;0.47;24.17
250.24;0.57;38.58
512.41;0.68;25.07
99.88;0.51;57.22
518.55;0.48;17.1
372.15;0.51;22.38
349.54;0.48;21.3
362.31;0.43;22.2
319.54;0.46;20.51
652.25;0.46;14.7
425.18;0.49;18.6
162.84;0.55;50.36
281.79;0.5;23.3
401.13;0.58;12.1
413.03;0.55;26.49
398.68;0.63;41.13
221.43;0.59;41.94
300.44;0.43;27.05
543.95;0.49;26.71
271.6;0.54;40.16
136.67;0.57;62.1
132.14;0.55;52.82
575.74;0.35;13.1
329.4;0.55;26
499.58;0.58;17.89
376.89;0.52;33.72
142.4;0.57;59.08
324.23;0.53;30.41
130.14;0.54;46.14
797.88;0.46;15.1
154.2;0.52;48.8
485.01;0.54;19
167.33;0.53;64.86
432.73;0.57;31.05
274.57;0.56;37.75
637.3;0.56;24.8
500.46;0.5;18.4
462.23;0.6;31.59
400.81;0.58;21.3
320.79;0.51;28.6
395.64;0.46;25.4
431.75;0.5;21.8
139.3;0.68;40.18
196.66;0.59;45.71
412.85;0.61;32.83
135.19;0.53;53.29
115.04;0.57;59.22
193.8;0.48;55.42
126.6;0.47;46.59
146.34;0.54;39.59
169.58;0.5;56.59
198.31;0.55;37.49
296.51;0.55;27.4
120.65;0.43;39.42
731.11;0.61;30.66
632.93;0.42;16.1
333.52;0.49;26.8
288.26;0.59;27.29
194.02;0.49;34.42
1034.14;0.46;21.4
101;0.56;55.45
212.16;0.55;59.46
721.82;0.54;14.2
495.41;0.43;15.8
510.09;0.4;20.4
452.87;0.46;19.9
220.69;0.56;24.12
174.04;0.53;52.58
223.43;0.53;30.15
261.47;0.49;26.49
352.5;0.48;27.79
347.12;0.52;33.4
440.4;0.57;36.66
285.94;0.52;31.25
105.64;0.54;54.96
230.73;0.6;44.26
203.36;0.56;39.66
375.67;0.54;30.4
131.99;0.47;57.73
474.28;0.48;18.89
204.3;0.52;49.22
364.44;0.46;24.9
307.36;0.53;25.3
447.8;0.51;30.5
550.37;0.48;18.8
919.61;0.46;13.1
234.37;0.63;34.9
125.09;0.57;40.94
132.04;0.55;52.76
181.52;0.53;38.51
181.76;0.57;30.12
107.53;0.49;53.45
429.54;0.48;18.05
227.05;0.56;45.66
471.14;0.46;29.02
325.12;0.4;28.6
293.23;0.47;17.9
337.42;0.6;34.09
1383.78;0.55;18.26
431.36;0.49;24.4
419.18;0.44;28.01
363.07;0.46;19.4
161.97;0.62;59.65
303.1;0.54;19.7
503.03;0.53;16.65
338.94;0.54;17.7
140.38;0.63;48.15
366.94;0.5;24.71
280.66;0.74;44.73
544.29;0.55;24.9
466.29;0.61;23.6
331.73;0.56;43.29
334.55;0.57;28.2
311.16;0.6;30.15
361.92;0.38;12.3
187.02;0.48;43.53
606.61;0.46;21.7
610.48;0.64;34.57
361.54;0.45;21.52
145.99;0.63;48
870.68;0.66;16.7
322.22;0.53;40.53
207.52;0.51;55.64
308.12;0.48;29.93
157.66;0.56;60.48
648.86;0.57;18.89
289.16;0.54;29.02
506.48;0.49;24.6
709.4;0.46;17.2
93.42;0.56;60.53
294.22;0.44;31
126.76;0.53;47.49
176.83;0.46;32.68
608.79;0.57;21.2
176.83;0.5;54.49
188.86;0.52;39.1
113.93;0.5;50.16
441.28;0.44;22.2
117.29;0.51;39.57
199.65;0.53;31.93
186.24;0.5;48.6
501.9;0.44;22.4
140.62;0.55;49.57
582.2;0.54;15.8
153.58;0.53;37.49
298.61;0.56;35.42
122.08;0.5;49.39
181.91;0.51;49.94
159.25;0.49;49.98
246.89;0.59;39.49
321.91;0.51;32.4
122.78;0.47;33.72
507.79;0.48;17.97
231.48;0.59;49.76
108.04;0.47;38.36
594.7;0.56;15.91
147.91;0.5;46.32
453.81;0.54;26.21
324.46;0.58;28.72
437.96;0.41;23.4
103.33;0.54;50.09
472.2;0.54;25.6
294.63;0.53;35.42
142.51;0.57;45.1
504.52;0.5;22.3
504.61;0.54;21.8
154.02;0.52;69.58
124.52;0.5;35.47
306.92;0.65;40.78
332.38;0.6;47.66
136.15;0.61;43.91
605.44;0.53;19.7
907.45;0.51;15.1
468.8;0.48;18.8
140.56;0.55;45.39
252.82;0.52;19.8
462.17;0.56;21.2
716.33;0.41;19.6
525.77;0.53;22
481.01;0.57;21.99
532.99;0.52;13.2
169.25;0.49;43.11
471.73;0.43;21.1
113.16;0.46;52.36
471.88;0.52;17.5
265.85;0.59;28.89
350.17;0.54;32.3
188.1;0.51;41.84
540.56;0.51;23.1
109.76;0.56;52.05
463.09;0.47;18
191.14;0.59;54.5
500.75;0.54;22.2
519.09;0.52;17
170.7;0.67;35.27
110.69;0.58;51.11
460.17;0.59;21.7
198.21;0.43;31.93
448.68;0.52;17.4
176.64;0.51;33.11
405.66;0.52;27.79
560.5;0.48;29.95
168.29;0.52;52.18
504.47;0.52;15.2
140.08;0.5;51.47
214.46;0.44;27.3
227.36;0.47;35.81
400.14;0.47;29.2
245.01;0.55;45.66
273.71;0.52;33.1
441.64;0.51;21.9
286.06;0.54;38.27
401.84;0.52;27.1
1001.94;0.58;20.79
217.22;0.55;47.58
365.72;0.44;28.6
221.7;0.57;44.41
392.11;0.52;25.7
138.29;0.61;50.49
667.28;0.56;19.7
452.51;0.57;24.5
233.97;0.61;30.41
205.54;0.59;50.93
398.06;0.49;20.19
119.21;0.5;45.65
153.92;0.5;39.39
280.84;0.52;26.18
355.77;0.51;22.1
131.62;0.55;66.99
467.84;0.43;18.5
159.79;0.49;51.77
154.86;0.53;45.57
119.13;0.55;48.99
323.18;0.57;32.08
317.38;0.47;23.28
101.55;0.48;68.35
188.57;0.54;32.89
86.45;0.52;60.54
173.57;0.59;57.19
618.21;0.59;27.39
120.35;0.46;53.15
102.39;0.55;43.77
163.65;0.5;52.43
170.6;0.59;45.57
292.86;0.5;24.4
786.53;0.49;13.1
352.83;0.54;27.4
278.91;0.5;29.02
122.38;0.54;60.62
107.83;0.58;53.24
95.12;0.61;63.77
201.87;0.55;29.16
774.55;0.59;20.3
577.3;0.44;12.83
469;0.44;19.8
276.25;0.53;56.11
161.29;0.47;45.92
212.26;0.49;34.55
318.45;0.43;20.51
547.25;0.55;14.6
657.92;0.34;15.7
500.5;0.59;22.19
234.59;0.58;35.59
575.06;0.48;17.9
434.2;0.47;22.3
395.73;0.54;21.6
325.88;0.5;28.19
502.14;0.58;24.5
607.99;0.52;17.8
141.07;0.47;38.23
142.25;0.64;47.6
422.65;0.6;21.68
160.7;0.49;36.3
181.41;0.51;40.24
214.7;0.49;33.17
307.55;0.62;36.18
330.76;0.56;35.43
372.43;0.52;22.25
661.95;0.42;14.6
340.91;0.56;24.4
471.04;0.54;21.96
328.18;0.47;24.88
371.7;0.5;28
313.96;0.46;33.4
712.06;0.47;16.4
260.25;0.53;35.92
496.8;0.51;24.4
153.29;0.56;45.38
229.83;0.52;40.87
412.22;0.47;21.4
177.02;0.43;30.41
399.24;0.51;28
468.65;0.48;20
224.08;0.45;34.8
339.9;0.56;34.34
165.53;0.47;42.86
575.9;0.39;18.6
527.73;0.48;23.1
418.62;0.61;25
341.17;0.52;20.2
168.62;0.49;33.3
395.59;0.42;21.4
372.95;0.53;19.03
530.29;0.63;29.75
437.51;0.57;24
550.19;0.58;18.8
583.96;0.61;18.89
205.43;0.49;36.21
457.9;0.51;26.9
550.34;0.51;20.7
702.66;0.56;18.8
489.22;0.49;24.4
169.76;0.53;51.29
796.1;0.57;18.3
551.63;0.57;25
443.52;0.53;31.33
423.71;0.5;19.3
97.3;0.57;59.28
492.36;0.46;23.6
293.3;0.5;25.5
649.05;0.63;18.7
616.96;0.5;21.4
694.75;0.51;19.08
274.53;0.46;22.8
701.23;0.53;18.3
594.15;0.53;18.66
505.51;0.57;22.59
427.65;0.55;27.12
128.77;0.56;48.69
454.24;0.56;18.86
427.76;0.5;22.71
275.55;0.49;23.2
435.77;0.51;22.38
142.07;0.45;55.99
189.83;0.45;51.45
147.93;0.54;34.23
491.98;0.57;23.2
285.6;0.41;19.8
640.3;0.41;14.1
389.58;0.52;26.6
397.68;0.58;26.01
148.66;0.5;53.86
436.57;0.5;19
498.38;0.49;17.8
380.12;0.57;21.1
319.74;0.44;21.9
142.59;0.51;41.14
417.54;0.48;25.2
461.13;0.5;26.7
925.83;0.54;14.8
239.57;0.48;28.59
248.14;0.47;42.21
604.42;0.5;12.5
527.25;0.41;19.2
108.11;0.55;46.29
465.17;0.54;29.8
269.39;0.66;39.86
434.18;0.47;16.9
85.88;0.54;51.47
533.29;0.46;15.3
254.15;0.61;27.2
416.51;0.52;17.7
173.42;0.55;65
256.07;0.51;28.45
388.26;0.51;23.9
106.34;0.55;65.9
352.52;0.62;30.38
318.3;0.43;23.6
123.43;0.51;53.37
142.25;0.53;45.88
479.61;0.37;20.8
426.73;0.49;24.76
304.01;0.53;31.58
272.52;0.55;25.92
860.45;0.54;11.6
177.01;0.51;28.94
779.08;0.55;21.73
507.7;0.49;20.6
156.43;0.49;44.8
128.85;0.51;46.06
190.18;0.55;34.96
211.44;0.6;51.06
511.95;0.51;20.6
259.9;0.48;52.84
245.04;0.56;48.34
128.09;0.53;36.95
137.19;0.51;75.23
163.66;0.56;54.5
187.73;0.55;36.81
550.76;0.49;28.79
133.85;0.58;47.81
123.63;0.61;39.1
484.09;0.49;21.13
588.5;0.56;22.19
629.21;0.54;16.3
135.52;0.55;65.9
604.5;0.47;20.3
140.03;0.55;45.65
236.49;0.51;31.96
293.4;0.52;20.9
584.45;0.48;20.7
553.74;0.48;17.7
182.38;0.6;42.86
306.87;0.42;30.32
765.28;0.54;17.2
167.82;0.54;37.18
648.92;0.5;18.4
347.67;0.56;26.85
164.04;0.5;54.33
479.81;0.42;21.91
308.1;0.47;35.46
468.47;0.53;17.6
285.06;0.61;34.9
177.85;0.49;55.64
136.75;0.53;31.6
402.29;0.48;26.7
456.86;0.41;23.2
96.68;0.59;55.64
499.33;0.5;21.6
194.72;0.49;44.3
172.34;0.55;59.91
655.48;0.53;15.59
131.99;0.51;48.75
442.66;0.46;24.1
93.96;0.57;47.4
195.13;0.56;34.96
494.08;0.36;22.3
144.14;0.52;44.27
565.68;0.5;17.6
177.11;0.56;38.08
97.47;0.5;60.48
134.68;0.52;48.15
399.8;0.52;30.37
164.45;0.52;34.63
252.37;0.52;45.63
489.94;0.49;20.6
363.1;0.43;29.84
131.21;0.54;36.81
114.65;0.59;36.98
615.29;0.44;19.1
639.25;0.56;16.49
185.02;0.55;36.56
477.07;0.55;20.3
165.07;0.58;65.9
441.86;0.42;25
505.85;0.56;22.06
432.67;0.57;31.26
295.46;0.58;37.78
260.34;0.46;26.7
324.97;0.41;26.66
660.72;0.57;15.2
646.19;0.54;17.1
608.83;0.56;19
132.81;0.56;55.91
314.45;0.59;34.81
128.82;0.48;63.19
765.83;0.48;13
348.88;0.64;34.32
490.64;0.39;18.2
463.52;0.47;22.25
527.38;0.5;13.2
101.74;0.55;62.53
378.37;0.57;25.4
284.85;0.56;35.4
253.71;0.49;33.68
683.13;0.53;18.3
500.55;0.47;20.1
371.38;0.57;26.7
464.85;0.47;28.1
672.05;0.43;15.3
386.04;0.6;33.41
329.72;0.49;25.3
299.47;0.55;39.49
140.42;0.6;79.03
326.36;0.43;26.9
511.3;0.5;21.91
146.2;0.48;36.28
675.42;0.41;17.6
886.76;0.47;17.5
194.02;0.55;36.88
440.28;0.55;17.8
526.62;0.45;17.1
497.73;0.43;21.8
372.74;0.48;26.8
455.28;0.54;20.5
382.85;0.53;24.5
133.85;0.53;50.48
378.9;0.46;24.43
532.57;0.64;26.66
169.48;0.49;47.59
218.99;0.57;60.04
330.87;0.55;19.6
156.39;0.53;50.28
224.02;0.52;34.99
102.21;0.67;59
297.21;0.58;24.65
312.32;0.45;29.02
206.64;0.54;45.01
511.17;0.53;20.7
224.81;0.43;36.62
568.81;0.61;18.52
400.62;0.39;18.9
725.87;0.43;18.5
238.72;0.42;33.68
420.49;0.49;26.3
345.86;0.53;28.66
167.82;0.48;55.75
104.36;0.55;40.38
613.05;0.55;22.3
163.68;0.61;52.72
485.89;0.48;17.5
136.22;0.5;47.63
470.84;0.45;27.2
515.75;0.45;19
662.97;0.47;14.5
516.97;0.45;22.38
291.77;0.66;39.85
503.19;0.45;18.5
175.9;0.52;53.66
306.54;0.53;25.4
653.08;0.48;24.81
157.5;0.52;44.89
576.84;0.48;11.4
337.16;0.53;27.3
460.55;0.46;26.1
81.81;0.65;47.6
147.51;0.57;36.16
206.67;0.5;46.14
369.16;0.48;25.7
459.97;0.51;25.3
274.9;0.56;24.4
355.45;0.54;25.9
292.01;0.61;35.2
560.92;0.55;19.2
167.89;0.57;60.62
189.21;0.57;37.16
205.64;0.41;32
131.9;0.56;49.42
138.62;0.44;45.35
673.7;0.64;18.21
520.89;0.55;20.9
166.64;0.54;38.48
222.57;0.55;46.24
259.52;0.48;24.69
786.61;0.48;17.6
261.18;0.62;32.17
394.83;0.44;23.1
462.49;0.52;26.93
493.62;0.61;18.1
138.64;0.52;47.46
131.81;0.5;39.66
226.53;0.56;28.97
582.52;0.56;21
410.91;0.46;23.2
406.78;0.55;19.1
147.54;0.55;52.94
186.05;0.54;41.04
417.53;0.55;27.3
308.45;0.59;25.3
122.79;0.57;43.77
319.09;0.59;46.24
325.28;0.58;33.41
415.38;0.54;23.7
224.25;0.58;39.82
390.68;0.49;28.72
107.88;0.6;48.6
302.38;0.43;25.5
532.78;0.6;13.8
203.22;0.5;57.35
269.07;0.51;32.93
170.84;0.51;50.59
193.29;0.55;45.53
244.74;0.58;47.84
515.86;0.59;25.2
394.84;0.61;19.4
522.41;0.55;20.82
304.34;0.56;28.49
500.41;0.48;27.59
165.58;0.5;43.28
410.66;0.49;23.85
419.51;0.61;29.84
224.99;0.58;44.62
112.54;0.5;29.16
201.66;0.5;38.99
165.24;0.58;43.03
235.91;0.59;31.46
259.27;0.56;55.39
317.87;0.61;19.5
120.76;0.54;53.15
148.3;0.53;43.25
183.4;0.48;61.56
282.54;0.57;38.51
130.99;0.54;53.16
400.42;0.53;22.34
493.91;0.52;21.7
469.25;0.54;32.6
418.14;0.52;31.33
403.97;0.45;31.8
452.63;0.52;31.2
145.6;0.56;45.35
150.17;0.58;67.8
148.11;0.48;55.64
203.34;0.5;59.3
307.47;0.49;26.1
110.34;0.55;60.31
204.43;0.53;36.28
475.49;0.56;24.88
400.91;0.52;22.1
193.25;0.45;41.94
315.66;0.58;39.45
439.47;0.5;22.8
764.9;0.47;23
173.9;0.42;54.81
494.29;0.47;17.7
694.02;0.56;22.63
190.09;0.49;50.28
198.67;0.55;44.31
446.15;0.41;17.9
423.64;0.53;25.17
298.07;0.58;46.7
215.21;0.55;39.34
187.55;0.65;48.5
410.13;0.47;25.44
203.73;0.58;40.63
305.78;0.65;39.1
312.67;0.49;33.4
155.1;0.45;49.16
204.82;0.49;34.77
158.98;0.54;78.79
476.5;0.52;20.39
458.46;0.51;21.72
467.18;0.54;16.35
162.29;0.55;42.81
