RENDA;GINI;CMI
399.29;0.46;23.51
488.92;0.55;21.8
409.31;0.44;22.3
194.8;0.48;45.35
453.43;0.52;24.89
207.5;0.51;47.4
636.55;0.53;18.2
488.93;0.54;19.43
354.28;0.57;26.18
395.54;0.53;32.94
352.29;0.55;21.3
86.97;0.52;57.19
478.41;0.47;28.5
176.32;0.53;38.85
141.06;0.56;44.35
595.05;0.57;21
136.25;0.52;45.93
566.79;0.49;20.4
254.78;0.59;43.95
121.31;0.54;52.53
176.37;0.54;54.16
485.81;0.61;27.04
242.56;0.49;41.94
628.9;0.51;24.3
127.4;0.51;50.09
312.64;0.47;31.17
700.81;0.62;38.95
530.33;0.53;22.9
122.88;0.52;53.37
216.08;0.55;44.32
134.64;0.45;43.41
994.3;0.55;18.3
116.99;0.57;56.49
278.67;0.51;27.05
141.98;0.56;60.34
611.77;0.52;17.6
152.31;0.45;51.32
497.72;0.58;25.83
261.03;0.57;33.72
295.28;0.48;23.1
376.09;0.47;25
384.34;0.45;27.1
149.08;0.54;43.57
263;0.56;40.03
368.3;0.54;43.81
378.56;0.52;27.41
423.56;0.6;35.38
372.44;0.4;24.43
100.82;0.52;60.31
278.68;0.52;43.57
459.66;0.53;28
634.63;0.53;17.99
198.04;0.6;46.75
89.13;0.59;60.54
300.12;0.57;26.51
198.28;0.53;48.48
389.28;0.48;21.5
129.69;0.55;60.48
496.32;0.46;19.9
377;0.44;23.8
278.65;0.42;27.23
298.06;0.45;21.5
258.45;0.55;47.4
319.2;0.51;41.23
182.46;0.5;45.85
596.95;0.49;24
536.04;0.41;21.8
657.87;0.68;28
553.85;0.52;18.86
207.82;0.48;27.3
514.47;0.58;30.66
412.35;0.48;24.7
573.87;0.49;20.3
151.84;0.54;57.48
872.54;0.5;16.8
742.82;0.48;14.7
137.05;0.53;40.38
421.51;0.42;20.2
187.5;0.59;48.15
129.41;0.56;56.43
226.84;0.6;46.14
518.71;0.56;20.14
133.87;0.54;52.88
370.52;0.51;31.8
142.33;0.47;48.62
411.15;0.52;16.6
126.67;0.49;38.23
164.95;0.52;50.02
203.26;0.54;43.84
488.09;0.46;20.4
414.29;0.43;22.19
665.69;0.53;25.07
445.72;0.46;33.46
506.12;0.4;18.8
524.58;0.51;16.65
341.06;0.58;43.96
549.87;0.5;22.67
512.35;0.5;18.21
546.93;0.49;18.1
292.34;0.52;39.34
171.68;0.48;32.26
126.9;0.46;59.52
176.23;0.53;46.06
179.98;0.57;47.4
396.78;0.6;23.4
400.76;0.36;21.8
366.4;0.52;35.18
360.4;0.5;33.3
189.39;0.53;56.21
343.88;0.51;27.05
152.94;0.5;39.15
242.04;0.55;29.71
558.26;0.56;31.49
530.87;0.57;21.68
288.32;0.54;34.12
506.21;0.4;20.7
762.32;0.54;20.14
545.88;0.51;20.3
110.01;0.53;59.91
147.26;0.52;50.16
69.52;0.48;49.76
147.8;0.55;49.8
603.14;0.49;20.73
138.47;0.55;38.89
286.18;0.63;35.38
725.44;0.45;15.2
429.21;0.4;18.1
619.14;0.5;14.6
443.99;0.5;19.9
415.31;0.51;22.2
456.53;0.56;23.6
493.08;0.46;15.4
634.06;0.49;17.6
349.01;0.5;26.1
684.36;0.57;18.3
393;0.47;19
561.8;0.48;24.4
538.5;0.39;24.3
350.36;0.49;16.7
397.23;0.55;26.6
127.68;0.59;56.43
199.63;0.6;27.61
676.1;0.58;20.5
794.13;0.52;17.2
141.79;0.51;56.71
178.82;0.54;55.49
429.89;0.49;19.29
533.05;0.54;28.19
152.85;0.5;36.38
147.86;0.74;47.6
455.24;0.46;20.69
542.07;0.44;26.8
220.37;0.55;35.42
884.14;0.55;17.4
330.86;0.51;26.18
211.99;0.58;46.75
134.87;0.5;36.34
274.88;0.43;34.42
466.05;0.49;15.6
192.88;0.62;55.75
326.77;0.47;20.8
123.46;0.48;51.19
641.72;0.54;23.2
327.63;0.48;25.6
136.33;0.53;50.76
169.67;0.56;36
175.97;0.63;41.23
536.69;0.46;18.4
187.62;0.66;39.86
420.48;0.48;19.6
421.21;0.53;20.4
735.8;0.55;16.6
103.81;0.6;35.75
104.55;0.55;54.95
378.97;0.55;25
149.7;0.5;57.33
118.31;0.54;48.69
134.07;0.49;45.44
201.74;0.55;48.15
119.08;0.51;48.99
143.91;0.58;52.87
107.3;0.55;67.37
622.63;0.45;21.2
391.41;0.54;22.75
593.18;0.58;18.2
112.14;0.48;44.36
129.02;0.57;55.7
173.37;0.5;43.38
148.44;0.57;52.02
162.04;0.53;36.34
148.57;0.53;35.98
130.98;0.56;52.53
131.46;0.53;59.08
371.49;0.51;26.18
454.58;0.42;21.3
316.74;0.5;25.8
330.53;0.56;27.1
501.54;0.51;18.2
484.72;0.44;18.8
1563.49;0.55;15.47
431.14;0.47;22.2
633.21;0.53;21.1
621.31;0.5;21.4
832.51;0.48;14.6
401.2;0.47;25.61
353.17;0.58;33.41
481.24;0.49;18.68
166.55;0.55;43.61
515.51;0.59;17.7
146.15;0.59;40.58
464.72;0.4;21.91
165.99;0.48;37.49
363.22;0.47;29.7
278;0.55;44.26
396.73;0.51;25.09
454.61;0.51;30.41
246.16;0.62;29.34
131.94;0.46;47.88
347.4;0.51;22.6
343.61;0.48;26.71
503.89;0.54;23.2
151.92;0.53;44.56
236.31;0.5;30.06
258.12;0.49;33.72
347.25;0.47;25.3
546.17;0.41;17.6
153.98;0.51;58.76
188.08;0.52;59.02
560.59;0.58;21.67
233.87;0.6;40.66
316.66;0.58;29.02
378.92;0.44;25.1
348.03;0.56;27
149.2;0.5;47.18
217.27;0.64;41.29
666.41;0.48;13.4
114.46;0.59;45.71
288.54;0.4;29.7
784;0.48;17.1
458.96;0.57;26.29
337.11;0.59;11.4
186.71;0.53;37.16
129.14;0.51;45.72
149.05;0.5;78.79
125.48;0.53;52.88
135.71;0.48;47.95
140.2;0.48;43.62
365.47;0.57;25.83
218;0.54;40.18
182.14;0.45;59.7
384.48;0.55;30.37
203.69;0.59;30.4
140.4;0.44;47.63
196.81;0.64;46.22
594.31;0.59;27.41
290.29;0.48;19.9
403.65;0.5;29.39
174.25;0.54;42.86
117.2;0.55;45.93
543.44;0.52;21.25
476.44;0.59;28.6
519.61;0.54;16.7
454.63;0.55;20.8
162.51;0.52;65
260.11;0.54;39.49
215.88;0.53;24.5
405.05;0.43;17.7
228.2;0.52;33.65
569.44;0.52;16.74
145.6;0.54;48.16
559.51;0.47;19.7
147.18;0.52;59.08
432.93;0.6;34.71
168.34;0.51;39.73
122.12;0.58;41.29
119.52;0.61;50.93
206.61;0.56;62.69
782.49;0.54;17.4
440.98;0.43;22.4
151.5;0.47;51.06
275.22;0.46;21.9
163;0.52;42.81
166.99;0.5;37.93
189.43;0.54;39.85
275.33;0.53;34.09
167.44;0.49;53.66
117.28;0.52;70.03
307.18;0.53;26.5
376.72;0.52;25.07
994.81;0.61;18.3
491.64;0.5;18.8
431.19;0.52;25.09
246.02;0.55;54.28
123.62;0.55;50.16
717.67;0.52;15
278.14;0.56;31.26
210.55;0.52;56.43
987.7;0.55;18
233.25;0.45;35.92
672.76;0.51;16.1
159.43;0.55;36.19
124.25;0.54;63.28
84.11;0.63;53.25
239.45;0.51;23.91
386.79;0.51;23.8
314.6;0.45;37.12
108.79;0.5;55.45
516.13;0.55;22
105.59;0.56;60.29
231.98;0.47;30.7
447.5;0.68;26.2
144.86;0.56;46.35
139.85;0.54;69.58
138.93;0.47;43.55
107.98;0.5;60.29
227.6;0.6;47.66
625.48;0.61;26.45
167.03;0.49;48.92
378.74;0.44;22.7
293.93;0.49;24.08
231.77;0.56;48.48
299.75;0.49;26.4
198.83;0.51;42.75
1101.96;0.61;22.86
235.46;0.52;62.1
108.35;0.56;52.4
276;0.47;36.23
311.87;0.47;27.44
126;0.58;43.48
154.26;0.55;41.27
141.05;0.54;53.25
482.89;0.37;19.8
279.63;0.54;39.45
141.53;0.61;44.48
223.36;0.53;23.6
414.72;0.38;18.3
104.66;0.51;64.69
918.21;0.47;13.9
99.59;0.55;53.01
190.59;0.5;26.52
123.32;0.44;42.48
133.24;0.55;60.68
554.67;0.51;19.7
143.07;0.46;51.47
347.03;0.58;44.62
679.76;0.48;22.8
150.04;0.61;37.56
175.15;0.56;36.29
135.76;0.62;53.21
76.35;0.54;66.61
114.71;0.52;58.96
412.88;0.5;23.6
239.31;0.52;68.33
198.97;0.45;28.94
662.21;0.57;22.86
610.99;0.47;22
622.46;0.48;13.8
347.77;0.45;21.59
734.42;0.47;18.8
495.73;0.51;24.9
159.21;0.55;56.49
333.1;0.49;28.6
910.29;0.47;21.33
331.03;0.49;24.71
487.27;0.46;20.7
342.88;0.54;27.29
547.01;0.58;19.6
336.57;0.52;30.99
119.8;0.51;46.16
105.38;0.59;46.22
357.81;0.51;34.7
129.79;0.5;42.22
162.68;0.59;53.37
361.45;0.54;33.4
484.2;0.54;20.4
552.56;0.49;16.9
383.78;0.5;14
123.71;0.52;55.64
500.03;0.51;13.6
127.87;0.59;51.85
814.28;0.48;13
120.13;0.56;47.46
243.81;0.52;32.31
592.6;0.57;27.6
170.78;0.51;44.22
191.39;0.61;46.81
373.78;0.54;24.46
266.32;0.41;30.8
225.15;0.53;36.38
603.63;0.45;14.6
374.46;0.5;31.02
285.97;0.55;21.49
150.64;0.63;52.77
